"adr","State","City","Service","Count","EditionYear","Comments","lon","lat"
"Tinton Falls, New Jersey","New Jersey","Reveytown","Road House",1,1938,"Reveytown does not exist. Using “Tinton Falls” to geocode, following this mention: https://www.ancestry.com/boards/localities.northam.usa.states.newjersey.counties.monmouth/155.2.1/mb.ashx",-74.1004185,40.3042773
"Toledo, Ohio","Ohio","Toledo","Hotel",1,1939,"",-83.555212,41.6639383
"Toledo, Ohio","Ohio","Toledo","Tourist Home",3,1939,"",-83.555212,41.6639383
"Toledo, Ohio","Ohio","Toledo","Hotel",2,1938,"",-83.555212,41.6639383
"Topeka, Kansas","Kansas","Topeka","Tavern",2,1939,"",-95.6890185,39.0558235
"Topeka, Kansas","Kansas","Topeka","Hotel",2,1939,"",-95.6890185,39.0558235
"Topeka, Kansas","Kansas","Topeka","Tourist Home",3,1939,"",-95.6890185,39.0558235
"Trenton, New Jersey","New Jersey","Trenton","Tourist Home",4,1939,"",-74.7429384,40.2170534
"Trinidad, Colorado","Colorado","Trinidad","Tourist Home",1,1939,"",-104.5005407,37.1694632
"Troy, Alabama","Alabama","Troy","Tourist Home",2,1939,"",-85.969951,31.8087678
"Tuckahoe, New York","New York","Tuckahoe","Beauty Parlor",1,1939,"",-73.827356,40.9503764
"Tuckahoe, New York","New York","Tuckahoe","Barber Shop",1,1939,"",-73.827356,40.9503764
"Tuckahoe, New York","New York","Tuckahoe","Beauty Parlor",1,1938,"",-73.827356,40.9503764
"Tuckahoe, New York","New York","Tuckahoe","Barber Shop",1,1938,"",-73.827356,40.9503764
"Tuckahoe, New York","New York","Tuckahoe","Restaurant",1,1937,"",-73.827356,40.9503764
"Tuckahoe, New York","New York","Tuckahoe","Restaurant",2,1938,"",-73.827356,40.9503764
"Tuckahoe, New York","New York","Tuckahoe","Restaurant",2,1939,"",-73.827356,40.9503764
"Tuckahoe, New York","New York","Tuckahoe","Lunch Room",1,1937,"",-73.827356,40.9503764
"Tuckahoe, New York","New York","Tuckahoe","Barber Shop",1,1937,"",-73.827356,40.9503764
"Tuckahoe, New York","New York","Tuckahoe","Beauty Salon",1,1937,"",-73.827356,40.9503764
"Tulare, California","California","Tulare","Tavern",1,1939,"",-119.3473379,36.2077288
"Tulsa, Oklahoma","Oklahoma","Tulsa","Restaurant",3,1939,"",-95.992775,36.1539816
"Tulsa, Oklahoma","Oklahoma","Tulsa","Tavern",1,1939,"",-95.992775,36.1539816
"Tulsa, Oklahoma","Oklahoma","Tulsa","Hotel",6,1939,"",-95.992775,36.1539816
"Tulsa, Oklahoma","Oklahoma","Tulsa","Drug Store",2,1939,"",-95.992775,36.1539816
"Tulsa, Oklahoma","Oklahoma","Tulsa","Tourist Home",4,1939,"",-95.992775,36.1539816
"Tulsa, Oklahoma","Oklahoma","Tulsa","Garage",2,1939,"",-95.992775,36.1539816
"Tulsa, Oklahoma","Oklahoma","Tulsa","Service Station",1,1939,"",-95.992775,36.1539816
"Tulsa, Oklahoma","Oklahoma","Tulsa","Barber Shop",1,1939,"",-95.992775,36.1539816
"Tulsa, Oklahoma","Oklahoma","Tulsa","Beauty Parlor",3,1939,"",-95.992775,36.1539816
"Tuscalooso, Alabama","Alabama","Tuscalooso","Tourist Home",4,1938,"",-87.5691735,33.2098407
"Tuscalooso, Alabama","Alabama","Tuscalooso","Tourist Home",4,1939,"",-87.5691735,33.2098407
"Tyler, Texas","Texas","Tyler","Tourist Home",2,1939,"",-95.3010624,32.3512601
"Utica, New York","New York","Utica","Tourist Home",3,1939,"",-75.232664,43.100903
"Vaux Hall, New Jersey","New Jersey","Vaux Hall","Beauty Parlor",1,1939,"",-74.285017,40.7189709
"Vaux Hall, New Jersey","New Jersey","Vaux Hall","Road House",1,1939,"",-74.285017,40.7189709
"Vaux Hall, New Jersey","New Jersey","Vaux Hall","Tavern",1,1939,"",-74.285017,40.7189709
"Vaux Hall, New Jersey","New Jersey","Vaux Hall","Beauty Parlor",1,1938,"",-74.285017,40.7189709
"Vicksburg, Mississippi","Mississippi","Vicksburg","Tourist Home",1,1939,"",-90.877882,32.3526456
"Walla Walla, Washington","Washington","Walla Walla","Tourist Home",1,1939,"",-118.3430209,46.0645809
"Warren, Ohio","Ohio","Warren","Restaurant",2,1939,"",-80.8184166,41.2375569
"Washington, DC","DC","Washington","Theater",3,1939,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Restaurant",1,1939,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Beauty Parlor",1,1938,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Hotel",7,1938,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Country Club",2,1939,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Beauty Parlor",1,1939,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Restaurant",2,1938,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Hotel",7,1939,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Tourist Home",4,1939,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Tavern",1,1938,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Taxi",2,1939,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Tavern",4,1939,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Tourist Home",4,1938,"",-77.0368707,38.9071923
"Washington, DC","DC","Washington","Theater",3,1938,"",-77.0368707,38.9071923
"Washington, North Carolina","North Carolina","Washington","Drug Store",1,1939,"",-77.0521742,35.5465517
"Washington, Pennsylvania","Pennsylvania","Washington","Tourist Home",2,1939,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Hotel",1,1938,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Barber Shop",3,1939,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Dance Hall",1,1939,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Barber Shop",3,1938,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Dance Hall",1,1938,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Tourist Home",2,1938,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Theater",2,1939,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Hotel",1,1939,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Night Club",1,1938,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Restaurant",3,1938,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Restaurant",4,1939,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Tavern",1,1939,"",-80.2461714,40.17396
"Washington, Pennsylvania","Pennsylvania","Washington","Night Club",1,1939,"",-80.2461714,40.17396
